Vertex: (0.4268398, 1.455263): inDegree: 1, outDegree: 2.
Vertex: (-0.7423294, -0.2899188): inDegree: 1, outDegree: 2.
Vertex: (-1.105092, 0.8206488): inDegree: 3, outDegree: 2.
Vertex: (0.9647413, 0.5435134): inDegree: 3, outDegree: 2.
Vertex: (-1.56627, -1.746218): inDegree: 3, outDegree: 2.
Vertex: (-1.694791, 0.5335651): inDegree: 1, outDegree: 2.
Vertex: (0.8618533, 1.889897): inDegree: 2, outDegree: 2.
Vertex: (-1.132089, -0.2079794): inDegree: 3, outDegree: 2.
Vertex: (-0.8614319, 0.5509628): inDegree: 3, outDegree: 2.
Vertex: (-0.7066377, -0.1872585): inDegree: 4, outDegree: 2.
Vertex: (-1.018055, -1.316128): inDegree: 2, outDegree: 2.
Vertex: (-1.978173, 1.270962): inDegree: 2, outDegree: 2.
Vertex: (-0.9558398, -1.121328): inDegree: 4, outDegree: 2.
Vertex: (-1.123633, 1.832291): inDegree: 0, outDegree: 2.
Vertex: (-0.2502977, -0.4888036): inDegree: 3, outDegree: 2.
Vertex: (-0.6740179, -0.1370078): inDegree: 3, outDegree: 2.
Vertex: (0.4186499, -0.5564707): inDegree: 3, outDegree: 2.
Vertex: (-0.6792256, 1.477654): inDegree: 1, outDegree: 2.
Vertex: (0.7010158, 0.4592939): inDegree: 2, outDegree: 2.
Vertex: (-0.2086678, 0.313425): inDegree: 2, outDegree: 2.
Vertex: (0.04396449, 0.001612071): inDegree: 3, outDegree: 2.
Vertex: (-1.009081, 1.113038): inDegree: 1, outDegree: 2.
Vertex: (-0.9629066, 1.33206): inDegree: 2, outDegree: 2.
Vertex: (-0.1391188, 0.4459167): inDegree: 3, outDegree: 2.
Vertex: (-0.07596113, -0.651859): inDegree: 2, outDegree: 2.
Vertex: (1.443053, -0.8637903): inDegree: 1, outDegree: 2.
Vertex: (1.532589, -0.4925304): inDegree: 1, outDegree: 2.
Vertex: (0.597292, -0.1019481): inDegree: 3, outDegree: 2.
Vertex: (-0.7503849, -2.653558): inDegree: 3, outDegree: 2.
Vertex: (2.558895, -1.159365): inDegree: 1, outDegree: 2.
Vertex: (-0.247905, -0.95426): inDegree: 2, outDegree: 2.
Vertex: (-1.554975, -0.3181236): inDegree: 1, outDegree: 2.
Vertex: (0.9652388, -1.605055): inDegree: 3, outDegree: 2.
Vertex: (1.10855, -0.1407978): inDegree: 0, outDegree: 2.
Vertex: (-1.037161, -0.6143352): inDegree: 0, outDegree: 2.
Vertex: (-1.235293, -0.2794705): inDegree: 2, outDegree: 2.
Vertex: (1.62707, 0.3295152): inDegree: 2, outDegree: 2.
Vertex: (-2.047132, -0.07796415): inDegree: 2, outDegree: 2.
Vertex: (-1.137113, 0.5418578): inDegree: 0, outDegree: 2.
Vertex: (-0.7361851, -0.5442237): inDegree: 2, outDegree: 2.
Vertex: (-0.07757258, -0.6452465): inDegree: 2, outDegree: 2.
Vertex: (-1.936344, -0.805438): inDegree: 3, outDegree: 2.
Vertex: (-0.6507344, -0.08160899): inDegree: 2, outDegree: 2.
Vertex: (1.137673, 2.673019): inDegree: 1, outDegree: 2.
Vertex: (-0.5060567, -1.229899): inDegree: 0, outDegree: 2.
Vertex: (-0.9151151, 0.0115319): inDegree: 0, outDegree: 2.
Vertex: (-1.958206, -2.284354): inDegree: 1, outDegree: 2.
Vertex: (0.6202947, -1.044816): inDegree: 1, outDegree: 2.
Vertex: (0.8926264, -0.7405733): inDegree: 3, outDegree: 2.
Vertex: (0.6129507, -0.1084384): inDegree: 2, outDegree: 2.
Vertex: (-0.678076, 1.215605): inDegree: 3, outDegree: 2.
Vertex: (-0.4417847, -0.202454): inDegree: 1, outDegree: 2.
Vertex: (-0.1864898, -0.9494291): inDegree: 2, outDegree: 2.
Vertex: (-2.082844, 1.728429): inDegree: 1, outDegree: 2.
Vertex: (0.4938923, 0.8758561): inDegree: 1, outDegree: 2.
Vertex: (-0.787316, 0.2011901): inDegree: 2, outDegree: 2.
Vertex: (0.4690332, 0.7754533): inDegree: 3, outDegree: 2.
Vertex: (0.3416985, 1.425269): inDegree: 3, outDegree: 2.
Vertex: (-0.3895172, -0.6137919): inDegree: 3, outDegree: 2.
Vertex: (-0.05623751, 0.3699622): inDegree: 3, outDegree: 2.
Vertex: (1.126176, -0.4696345): inDegree: 2, outDegree: 2.
Vertex: (0.580112, -0.5740802): inDegree: 3, outDegree: 2.
Vertex: (0.2421911, -0.3289273): inDegree: 2, outDegree: 2.
Vertex: (-0.9312499, -2.301822): inDegree: 3, outDegree: 2.
Vertex: (0.008346265, 2.353054): inDegree: 2, outDegree: 2.
Vertex: (0.07153884, 0.08799794): inDegree: 1, outDegree: 2.
Vertex: (-0.7584445, 0.5733216): inDegree: 3, outDegree: 2.
Vertex: (-1.297957, 0.2760091): inDegree: 3, outDegree: 2.
Vertex: (-0.3393102, 1.731669): inDegree: 2, outDegree: 2.
Vertex: (0.4576144, 0.04459037): inDegree: 3, outDegree: 2.
Vertex: (0.8095224, 1.456038): inDegree: 1, outDegree: 2.
Vertex: (0.1673425, 0.6944293): inDegree: 6, outDegree: 2.
Vertex: (1.62914, -1.148606): inDegree: 3, outDegree: 2.
Vertex: (0.7717856, -0.4766967): inDegree: 2, outDegree: 2.
Vertex: (-1.215269, -0.1190059): inDegree: 1, outDegree: 2.
Vertex: (-1.183427, -0.5216121): inDegree: 2, outDegree: 2.
Vertex: (-0.5250744, 1.419858): inDegree: 3, outDegree: 2.
Vertex: (-0.4890774, 1.142424): inDegree: 2, outDegree: 2.
Vertex: (-2.449843, -0.3338551): inDegree: 1, outDegree: 2.
Vertex: (0.4197565, 0.05990668): inDegree: 3, outDegree: 2.
Vertex: (0.3232187, -0.4078883): inDegree: 3, outDegree: 2.
Vertex: (-2.009356, 0.01528628): inDegree: 5, outDegree: 2.
Vertex: (2.251682, 0.2988525): inDegree: 2, outDegree: 2.
Vertex: (-1.544457, 0.3056335): inDegree: 2, outDegree: 2.
Vertex: (0.1465486, -0.07453959): inDegree: 3, outDegree: 2.
Vertex: (-1.029302, -0.3321101): inDegree: 1, outDegree: 2.
Vertex: (1.368496, 1.821916): inDegree: 2, outDegree: 2.
Vertex: (0.4765678, 0.4395968): inDegree: 1, outDegree: 2.
Vertex: (1.810911, 1.734909): inDegree: 2, outDegree: 2.
Vertex: (-0.2237313, 2.694958): inDegree: 4, outDegree: 2.
Vertex: (0.8438595, 0.995995): inDegree: 2, outDegree: 2.
Vertex: (0.3093685, 0.7195405): inDegree: 2, outDegree: 2.
Vertex: (0.4812312, 3.551637): inDegree: 0, outDegree: 2.
Vertex: (1.197351, -0.5924046): inDegree: 2, outDegree: 2.
Vertex: (0.5366184, 1.99427): inDegree: 3, outDegree: 2.
Vertex: (0.8460718, 0.6867596): inDegree: 1, outDegree: 2.
Vertex: (0.3838906, -0.2052066): inDegree: 1, outDegree: 2.
Vertex: (0.8165442, 0.5058018): inDegree: 3, outDegree: 2.
Vertex: (-0.938093, 1.101781): inDegree: 1, outDegree: 2.
Vertex: (-0.7860628, 0.593621): inDegree: 2, outDegree: 2.
Vertex: (-1.076352, 1.53592): inDegree: 3, outDegree: 2.
Vertex: (-0.5193818, 1.521205): inDegree: 1, outDegree: 2.
Vertex: (-1.861725, -0.9564533): inDegree: 2, outDegree: 2.
Vertex: (-0.02209634, -2.003997): inDegree: 4, outDegree: 2.
Vertex: (-1.161845, -2.203686): inDegree: 2, outDegree: 2.
Vertex: (-1.062695, 0.04186623): inDegree: 4, outDegree: 2.
Vertex: (-0.06996391, 0.7309151): inDegree: 1, outDegree: 2.
Vertex: (0.3651557, -0.06402546): inDegree: 1, outDegree: 2.
Vertex: (-0.6003721, -0.5749019): inDegree: 3, outDegree: 2.
Vertex: (1.39828, 2.089174): inDegree: 2, outDegree: 2.
Vertex: (-2.166028, -0.4591902): inDegree: 3, outDegree: 2.
Vertex: (-2.745693, 0.3842483): inDegree: 0, outDegree: 2.
Vertex: (0.4218163, 2.236998): inDegree: 2, outDegree: 2.
Vertex: (-0.09479869, -0.7980135): inDegree: 3, outDegree: 2.
Vertex: (1.077155, 0.6054699): inDegree: 3, outDegree: 2.
Vertex: (-0.1986189, 2.237781): inDegree: 3, outDegree: 2.
Vertex: (-0.9251721, -0.2260874): inDegree: 1, outDegree: 2.
Vertex: (0.3079973, 0.6245769): inDegree: 2, outDegree: 2.
Vertex: (0.01825435, 0.8057035): inDegree: 4, outDegree: 2.
Vertex: (0.4131354, -2.216424): inDegree: 2, outDegree: 2.
Vertex: (-1.371708, -0.4625157): inDegree: 4, outDegree: 2.
Vertex: (-1.815715, -0.6201266): inDegree: 0, outDegree: 2.
Vertex: (1.517092, -0.04123572): inDegree: 2, outDegree: 2.
Vertex: (-0.1676537, -1.543896): inDegree: 1, outDegree: 2.
Vertex: (-0.4146569, -0.3187245): inDegree: 2, outDegree: 2.
Vertex: (1.05243, 1.225522): inDegree: 3, outDegree: 2.
Vertex: (0.5643049, 0.6164218): inDegree: 2, outDegree: 2.
Vertex: (-1.236713, -1.117257): inDegree: 1, outDegree: 2.
Vertex: (0.3546176, -0.257632): inDegree: 1, outDegree: 2.
Vertex: (-0.01399593, -1.02046): inDegree: 2, outDegree: 2.
Vertex: (1.803234, 1.469798): inDegree: 2, outDegree: 2.
Vertex: (-0.3433222, 0.2555734): inDegree: 2, outDegree: 2.
Vertex: (-0.09006112, 1.622963): inDegree: 2, outDegree: 2.
Vertex: (-0.5094653, 0.3598046): inDegree: 3, outDegree: 2.
Vertex: (1.206266, 1.055497): inDegree: 0, outDegree: 2.
Vertex: (0.2319488, -0.5002611): inDegree: 1, outDegree: 2.
Vertex: (0.02352312, 0.06048976): inDegree: 4, outDegree: 2.
Vertex: (0.4368942, -0.8506673): inDegree: 0, outDegree: 2.
Vertex: (0.234072, -0.2531096): inDegree: 3, outDegree: 2.
Vertex: (-1.278103, -0.4105946): inDegree: 4, outDegree: 2.
Vertex: (0.6504599, -1.348747): inDegree: 3, outDegree: 2.
Vertex: (-0.2828926, -0.1825014): inDegree: 2, outDegree: 2.
Vertex: (-0.4690708, -3.073479): inDegree: 2, outDegree: 2.
Vertex: (-0.4955972, -0.1593709): inDegree: 1, outDegree: 2.
Vertex: (-1.319694, 0.9320671): inDegree: 1, outDegree: 2.
Vertex: (0.2302332, -0.1076641): inDegree: 3, outDegree: 2.
Vertex: (1.016185, -1.477549): inDegree: 0, outDegree: 2.
Vertex: (-0.1575782, -0.7928955): inDegree: 4, outDegree: 2.
Vertex: (0.2419384, 0.05245113): inDegree: 0, outDegree: 2.
Vertex: (-0.7664718, 2.895956): inDegree: 1, outDegree: 2.
Vertex: (-1.383403, 0.4374014): inDegree: 4, outDegree: 2.
Vertex: (-0.6212291, 0.2445552): inDegree: 2, outDegree: 2.
Vertex: (-2.108416, 0.4609685): inDegree: 1, outDegree: 2.
Vertex: (-0.4925237, 0.6546273): inDegree: 3, outDegree: 2.
Vertex: (-0.2401309, 0.906594): inDegree: 0, outDegree: 2.
Vertex: (1.199039, 0.198484): inDegree: 3, outDegree: 2.
Vertex: (0.9683895, -0.3395521): inDegree: 4, outDegree: 2.
Vertex: (1.91669, 1.66747): inDegree: 2, outDegree: 2.
Vertex: (0.1663601, -1.046808): inDegree: 1, outDegree: 2.
Vertex: (-0.02733644, 0.1151882): inDegree: 2, outDegree: 2.
Vertex: (0.06515139, -0.510522): inDegree: 3, outDegree: 2.
Vertex: (1.264913, 0.5070872): inDegree: 1, outDegree: 2.
Vertex: (-0.510753, -0.6368674): inDegree: 3, outDegree: 2.
Vertex: (1.023767, -1.668598): inDegree: 3, outDegree: 2.
Vertex: (1.464544, -1.162531): inDegree: 2, outDegree: 2.
Vertex: (0.6037702, 0.2638636): inDegree: 3, outDegree: 2.
Vertex: (-0.50094, -0.7500293): inDegree: 0, outDegree: 2.
Vertex: (0.2234539, 1.225075): inDegree: 2, outDegree: 2.
Vertex: (0.9859774, -0.4015491): inDegree: 2, outDegree: 2.
Vertex: (-0.8677179, -0.5850754): inDegree: 2, outDegree: 2.
Vertex: (-2.170199, 0.07648954): inDegree: 2, outDegree: 2.
Vertex: (-0.8413753, 1.692213): inDegree: 2, outDegree: 2.
Vertex: (0.1916632, -0.248558): inDegree: 3, outDegree: 2.
Vertex: (0.1019567, -0.3699197): inDegree: 1, outDegree: 2.
Vertex: (0.8790888, 0.4502055): inDegree: 2, outDegree: 2.
Vertex: (0.7448782, -0.1308087): inDegree: 0, outDegree: 2.
Vertex: (-0.7649236, 1.088331): inDegree: 1, outDegree: 2.
Vertex: (-1.939116, 1.166928): inDegree: 2, outDegree: 2.
Vertex: (-0.08443684, 0.06507176): inDegree: 1, outDegree: 2.
Vertex: (-0.1508925, -0.7405468): inDegree: 3, outDegree: 2.
Vertex: (0.01343446, -1.119414): inDegree: 3, outDegree: 2.
Vertex: (-0.05257751, -0.1626385): inDegree: 2, outDegree: 2.
Vertex: (-0.7344379, -1.048299): inDegree: 2, outDegree: 2.
Vertex: (-0.4168257, -0.5062403): inDegree: 0, outDegree: 2.
Vertex: (0.9778234, 1.942731): inDegree: 1, outDegree: 2.
Vertex: (0.9097342, -0.4004126): inDegree: 2, outDegree: 2.
Vertex: (-2.020464, 0.1760171): inDegree: 2, outDegree: 2.
